name,ingredients,effect,dosage,caution,nation,image
CEFDINA 250MG,Thành phần dược chất: Cefdinir 250 mg,"Điều trị nhiễm khuẩn nhẹ và vừa do các vi khuẩn nhạy cảm với cefdinir:
1. Nhiễm khuẩn đường hô hấp trên (viêm mũi, viêm họng, viêm amidan, viêm tai giữa, viêm xoang).
2. Nhiễm khuẩn đường hô hấp dưới (viêm thanh quản, viêm khí quản, viêm phế quản, viêm tiểu phế quản, viêm phổi).
3. Nhiễm khuẩn da và cấu trúc da (viêm nang lông, nhọt, chốc lở, chín mé, viêm quanh móng, áp xe dưới da).","Thêm nước vào chai thuốc đến vạch (vừa đủ 60ml) lắc mạnh liên tục cho đến khi tạo thành một hỗn dịch đồng nhất chứa 250mg cefdinir/5ml. Sau khi pha nên bảo quản trong ngăn mát tủ lạnh. Hỗn dịch này chỉ được dùng trong 7 ngày sau khi pha. Lắc kỹ hỗn dịch trước khi dùng. Thuốc dùng đường uống và không phụ thuộc bữa ăn.
Liều dùng khuyến cáo: Tổng liều hàng ngày cho tất cả các bệnh nhiễm khuẩn là l4mg/kg, liều tối đa là 600mg/ngày. Liều 1 lần/ngày trong 10 ngày có hiệu quả như liều 2 lần/ngày. Trường hợp nhiễm khuẩn da nên dùng 2 lần/ngày.","Chống chỉ định: 
Mẫn cảm với một trong các thành phần của thuốc hoặc mẫn cảm với kháng sinh khác thuộc nhóm cephalosporin.
Quy cách: Hộp 1 chai bột pha hỗn dịch uống (tương ứng với 60ml hỗn dịch sau khi pha), kèm theo cốc nhựa chia liều và tờ hướng dẫn sử dụng thuốc bên trong hộp.",vi,
VINPOCETIN 5MG,"Vinpocetin 5mg
Tá dược vđ 1 viên","1. Để làm giảm những dấu hiệu tâm thần và thần kinh của các rối loạn mạch não khác nhau: Rối loạn trí nhớ, mất ngôn ngữ, loạn vận động, choáng váng, nhức đầu và để điều trị những triệu chứng mao mạch sinh dưỡng của hội chứng sau mãn kinh. Bệnh não do tăng huyết áp, suy mạch não gián đoạn, rối loạn co thắt mạch não và viêm nội mạc động mạch não.
2. Điều trị một số bệnh ở tai và mắt có nguyên nhân mạch, hoặc làm giảm triệu chứng các bệnh này","uống 1-2 viên / 8 giờ, ngày 3 lần. (15-30 mg mỗi ngày)
Liều duy trì 1 viên / ngày, dùng trong thời gian dài.","1. Người bệnh mẫn cảm với một trong các thành phần của thuốc.
2. Người bệnh bị chảy máu và xuất huyết trong não.
3. Phụ nữ mang thai, phụ nữ trong thời gian cho con bú.
4. Người bệnh bị thiếu máu cục bộ, loạn nhip tim",vi,
ROTUNDIN 30MG,"Rotundin 30mg
Tá dược vđ 1 viên    ","Gặp trường hợp lo âu, căng thẳng do các nguyên nhân khác nhau dẫn đến mất ngủ hoặc giấc ngủ đến chậm.
Dùng thay thế Diazepam khi bị quen thuốc.
Hỗ trợ giảm đau trong một số trường hợp đau do co thắt cơ trơn, cơ vàn, đau dây thần kinh, đau do co thắt đường tiêu hoá, tử cung, đau cơ xương khớp.","An thần gáy ngủ: Người lớn 1 viên/lần X 2-3 lần/ngày.
Trẻ em từ 1 tuổi trờ lẽn: 2mg/kg thể trọng/ngày, chia 2-3 lần/ngày.
Giám đau: Dùng liều gấp đổi liều an thần gây ngủ.",Mẫn cảm với một trong các thành phần của thuốc. Trẻ em dưới 1 tuổi.,vi,
PIRACETAM 400MG,"Piracetam 400mg            
Tá dược vđ 1 viên","1. Điều trị triệu chứng chóng mặt.
2. Ở người cao tuổi: Suy giảm trí nhớ, chóng mặt, kém tập trung, hoặc thi đổi khí sắc, rối loạn hành vi, kém chú ý đến bản thân, sa sút trí tuệ do nhồi ổ.
3. Đột quỵ thiếu máu cục bộ cấp . cần chú ý tuổi tác và mức độ nặng nhẹ lúc đầu của tai biên là các yêu tô quan trọng nhât đê tiên lượng khả năng sông sót sau tai biến đột quỵ thiếu máu cục bộ cấp.           .
4. Điều trị nghiện rượu.
5. Điều trị bệnh thiếu máu hồng cầu liềm (piracetam có tác dụng ức chế và làm hồi phục hông câu liêm in vitro và có tác dụng tôt trên người bệnh bị thiếu máu hồng cầu liềm), ở trẻ em điều trị hỗ trợ chứng khó đọc.
6. Dùng bổ trợ trong điều trị giật rung cơ có nguồn gốc vỏ não.","Dùng theo chỉ dẫn của thầy thuốc.
Liều thường dùng: là 30 - 160 mg/kg/ngày, tùy theo chỉ định.","Người bệnh suy thận nặng (hệ số thanh thải creatinin dưới 20 ml/phút).
Người mắc bệnh Huntington.
Người bệnh suy gan.",vi,
ORALPLUS,"Lysin HCl 120mg
Aquamin soluble 80mg
Arginin HCl 50mg
Kẽm gluconat 20mg","Bổ sung một số vitamin, acid amin và kẽm. Giúp tăng cường sức đề kháng, giúp trẻ ăn ngon.","1. Trẻ từ 1 - 3 tuổi: Uống mỗi ngày 1 ống.
2. Trẻ từ 4 - 12 tuổi: Uống mỗi lần 1 ống, ngày 2 lần.
3. Người lớn và trẻ em trên 12 tuổi: Uống mỗi lần 2 ống, ngày 3 lần.
4. Mỗi đợt dùng tối thiểu 20 - 30 ngày để có hiệu quả","1. Người lớn và trẻ em sức đề kháng kém mắc các bệnh đường hô hấp trên.
2. Trẻ biếng ăn, ăn không ngon miệng, gầy còm, mệt mỏi, suy dinh dưỡng.",vi,
CALCIDO ( DẠNG LỌ),"Aquamin F 780 mg
Tương ứng với calci 250 mg
Vitamin D3 (Cholecalciferol) 200 IU
Vitamin K2 (MK7) 50 mcg","Calcido bổ xung canxi, Vitamin D3, Vitamin K2 (MK7). Hỗ trợ hạn chế tình trạng loãng xương, bổ sung canxi giúp xương, răng chắc khỏe","Trẻ từ 6 tuổi trở lên ngày sử dụng 1 viên sau khi ăn vào buổi sáng
Người lớn, phụ nữ có thai, cho con bú: Ngày sử dụng 2 viên sau ăn, một viên buổi sáng, một viên buổi trưa","1. Trẻ em đang trong thời kỳ phát triển, trẻ có nguy cơ bị thiếu calci
2. Người bị loãng xương
3. Phụ nữ có thai, cho con bú có nhu cầu calci cao",vi,
HERBEYE NEW ( DẠNG VỈ ),"Cao đặc tổng hợp 100 mg
(Tương đương với: Trạch tả 200mg, Đương quy 200mg, Thục địa 200 mg, Hoài sơn 200mg, Hạ khô thảo 200mg)","Giúp giảm khô mắt, mỏi mắt, giúp tăng cường thị lực, hỗ trợ hạn chế thoái hóa điểm vàng","Người lớn & trẻ em > 15 tuổi: 2 viên/lần x 2 lần/ngày.
Cách dùng: Uống sau khi ăn, mỗi đợt nên dùng 6 - 8 tuần, an toàn có thể sử dụng lâu dài.","Trẻ từ 6 tuổi trở lên và người lớn trong các trường hợp bị mỏi mắt, mờ mắt do học tập, đọc sách, làm việc thường xuyên với máy tính, người bị giảm thị lực do lão hóa mắt, người bị thoái hóa điểm vàng, cận thị.",vi,
ORALKID NEW,"Sài đất 1000mg
Hoài sơn 200mg
Actiso 1000mg
Diếp cá. 500mg","1. Giúp mát gan, thanh nhiệt, giải độc, lợi tiểu, giải độc gan
2. Tăng cường chuyển hóa giúp nhuận gan, lợi mật, kích thích tiêu hóa giúp ăn uống ngon miệng
3. Tăng cường chức năng gan trong các trường hợp: dị ứng, nổi mề đay, mụn nhọt, phát ban","Trẻ em từ 1-3 tuổi: Uống 1 ống/ lần x 1-2 lần/ ngày
Trẻ em từ 3-9 tuổi: Uống 1 ống/ lần x 2 lần/ ngày
Từ 10-18 tuổi: Uống 1 ống/ lần x 2-3 lần/ ngày","1. Người bị mẩn ngứa, dị ứng, phát ban, rôm sẩy, mụn nhọt
2. Cơ thể nóng trong, bứt rứt khó ngủ
3. Người bí đại tiểu tiện, nước tiểu sẫm màu, táo bón",vi,
BỔ THẬN NAM CORDYCEPS,"Cao câu kỷ tử ( Fructus Lycii) 50mg
Đông trùng hạ thảo ( Tương đương với Adenosin 0,04mg) 80mg
Cao tho ty tử ( Extractum Cuscutae) 50mg
Cao Phúc bồn tử ( Extractum Rubi ) 50mg
","1.Hỗ trợ giúp bổ thận, tráng dương, mạnh gân cốt, hỗ trợ tăng cường sinh lực và khả năng sinh lý nam giới.
2. Hỗ trợ làm chậm quá trình mãn dục nam","Uống lúc đói, ngày 2 lần x 2 viên/ lần.
Mỗi đợt nên dùng 30-60 ngày. Có thể dùng thường xuyên để duy trì hiệu quả","Người suy nhược, mệt mỏi, đau lưng mỏi gối, tiểu đêm do thận yếu",vi,
ĐẠI TRÀNG HATAPHAR,"Beta-glucan 50mg
Immunepath - IP 25mg
Hỗn hợp cao khô 221mg tương đương với:
Bạch Truật 350mg","Hỗ trợ kiện tỳ vị, tăng cường tiêu hóa, hỗ trợ giảm đau bụng, đầy hơi, rối loạn tiêu hóa do viêm đại tràng, viêm đại tràng co thắt","Mỗi lần uống 2-3 viên x 2 lần/ ngày, sau bữa ăn 1-2 giờ
Với trường hợp viêm đại tràng nên sử dụng mỗi đợt 4-6 tuần","Người bị viêm đại tràng, viêm đại tràng co thắt
Người bị rối loạn tiêu hóa, đầy hơi, khó tiêu, đau quặn bụng, tiêu chảy hoặc táo bón, đi nhiều lần trong ngày, kiết lỵ",vi,
BOSUGOLD,"Bột đạm thủy phân từ máu ngựa 250 mg
(Có chứa16 acid amin: aspartic, glutamic, serin, histidin, glycin, threonin, alanin, arginin, tyrosin, valin, methionin, phenylalanin, isoleucin, leucin, lysin, prolin).","Bổ sung acid amin, các vitamin và khoáng chất cho cơ thể. Hỗ trợ tăng cường sức khỏe, nâng cao sức đề kháng, hạn chế quá trình lão hóa.
Bổ sung calci hỗ trợ phát triển xương ở trẻ em.
Hỗ trợ trẻ ăn ngon miệng, tăng cường chuyển hóa và hấp thu các chất dinh dưỡng. Hỗ trợ để  trẻ có cơ thể khỏe mạnh.","Trẻ 7 – 13 tuổi: Uống 1 viên/lần x 2-3 lần/ngày.
Trẻ từ 1 – 6 tuổi: Uống 1 viên/lần x 2 lần/ngày (Trẻ 1-6 tuổi nên sử dụng dạng dung dịch uống).
Trẻ dưới 1 tuổi: Tham khảo ý kiến chuyên gia trước khi sử dụng.","Trẻ đang có nhu cầu năng lượng cao ăn uống không ngon miệng như lúc học tập quá sức, luyện tập thể thao",vi,
DƯỠNG TÂM ĐAN DHT,"Cao rễ nữ lang (Chuẩn hóa acid valerenic 0,8% - Tây Ban Nha) 100mg
Cao hoa bia ( Hops Strobiles chuẩn hóa rutosides 2% - Pháp) 30mg","Hỗ trợ: Dưỡng tâm, an thần, hỗ trợ cải thiện tình trạng mất ngủ, lo lắng, căng thẳng tinh thần","Uống 1-2 viên/ ngày vào buổi tối trước khi đi ngủ khoảng 30 phút đến 1 tiếng
Người mất ngủ kinh niên: Uống 2-3 viên/ ngày vào buổi tối trước khi đi ngủ khoảng 30 phút đến 1 tiếng","Người mất ngủ, khó ngủ, stress, căng thẳng tinh thần, rối loạn giấc ngủ do nhiều nguyên nhân",vi,
ORALPLUS GOLD NEW,"Lysin HCl ( Hàn Quốc) 250mg
Cao men bia 250mg","Hỗ trợ bổ sung vitamin và khoáng chất thiết yếu cho cơ thể
Hỗ trợ tăng cường tiêu hóa hấp thu thức ăn",Trẻ từ 1-3 tuổi : Uống mỗi ngày 1 ống.,"Trẻ em biếng ăn, kém ăn, kém hấp thu, suy dinh dưỡng
Trẻ em sức đề kháng kém, hay ốm vặt",vi,
NATTOKI - DHT,"Nattokinase 1500 FU
Coenzyme Q10 10mg","Hỗ trợ giảm nguy cơ hình thành và làm tan cục máu đông, hỗ trợ giảm nguy cơ tai biến mạch máu não do tắc mạch","Uống 2 viên/ ngày chia 2 lần sáng, tối. Nên uống trước bữa ăn 30 phút hoặc sau ăn 1 giờ.","1. Người mắc chứng huyết khối, cao huyết áp, đau thắt ngực
2. Người có nguy cơ tai biến mạch máu não do tắc mạch",vi,
BITABET,"Mướp đắng330 mg
Dây thìa canh330mg
Diệp hạ châu đắng330mg","Hỗ trợ hạ đường huyết, hỗ trợ giảm nguy cơ biến chứng trên tim mạch do bệnh tiểu đường",Uống mỗi lần 2-3 viên x 2 lần/ ngày. Đợt dùng từ 2-3 tháng,none,vi,
龍角散ダイレクトスティックピーチ（16包）,"キキョウ末84.0mg
セネガ末4.2mg
カンゾウ末102.0mg
キョウニン15.0mg
ニンジン末84.0mg
アセンヤク末8.4mg",たん、せき、のどの炎症による声がれ・のどのあれ・のどの不快感,"水なしで服用して下さい。服用間隔は2時間以上おいて下さい。
15歳以上:1回1包 1日6回
11歳以上15歳未満:1回2/3包 1日6回
7歳以上11歳未満:1回1/2包 1日6回
3歳以上7歳未満:1回1/3包 1日6回
3歳未満:服用しないこと","(1)直射日光の当たらない涼しい所に保管してください。
(2)小児の手のとどかない所に保管してください。
(3)他の容器に入れ替えないでください。(誤用の原因になったり品質が変わることがあります)
(4)1包を分割した残りを服用する場合には、袋の口を折り返して保管し、2日以内に服用してください。
(5)使用期限(外箱に記載)を過ぎたものは服用しないでください。",ja,
イブクイック頭痛薬 40錠,"イブプロフェン 150mg
アリルイソプロピルアセチル尿素 60mg
酸化マグネシウム 100mg
無水カフェイン 80mg  ","頭痛・肩こり痛・歯痛・月経痛(生理痛)・咽喉痛・関節痛・筋肉痛・神経痛・腰痛・抜歯後の疼痛・打撲痛・耳痛・骨折痛・ねんざ痛・外傷痛の鎮痛
悪寒・発熱時の解熱","〔 年 齢 〕 成人(15才以上)
〔1回量 〕 2錠
次の1回量を1日3回を限度とし、なるべく空腹時をさけて水又はぬるま湯で
服用してください。服用間隔は4時間以上おいてください。","(1)直射日光の当たらない湿気の少ない涼しい所に保管してください。
(2)小児の手の届かない所に保管してください。
(3)他の容器に入れ替えないでください。(誤用の原因になったり品質が変わることがあります。)
(4)使用期限をすぎたものは服用しないでください。",ja,
バファリン プレミアム,"イブプロフェン130mg
アセトアミノフェン130mg
無水カフェイン80mg
アリルイソプロピルアセチル尿素60mg","(1)頭痛・肩こり痛・月経痛(生理痛)・腰痛・関節痛・神経痛・筋肉痛・咽喉痛・歯痛・抜歯後の疼痛・打撲痛・ねんざ痛・骨折痛・外傷痛・耳痛の鎮痛
(2)悪寒・発熱時の解熱",成人(15才以上)、1回2錠、1日3回を限度とし、なるべく空腹時をさけて服用し、服用間隔は4時間以上おいてください。水又はぬるま湯にて服用してください。,"(1)用法・用量を厳守してください。
(2)錠剤の取り出し方 錠剤の入っているPTPシートの凸部を指先で強く押して裏面のアルミ箔を破り、取り出してお飲みください(誤ってそのまま飲み込んだりすると食道粘膜に突き刺さる等思わぬ事故につながります。)",ja,
龍角散,"キキョウ末70mg
キョウニン末5.0mg
セネガ末3.0mg",セキ、タン、ノドの炎症による声がれ・ノドの荒れ・ノドの不快感・ノドの痛み・ノドのはれ,"大人(15歳以上):1回 1杯 1日 3～6回
必ず水なしで服用してください。",小児に服用させる場合には、保護者の指導監督のもとに服用させてください。,ja,
