id,name,ingredient,effect,dosage
12,아프타치 정,트리암시놀론 아세토니드,다음 질환에 의한 염증의 완화 : 미란(짓무름) 또는 궤양을 수반하는 난치성 구내염(입안염) 및 설염(혀염),"환부(질환 부위)에 트리암시놀론아세토니드로서 1회 0.025 mg 1일 1 ~ 2회 흰색면을 환부(질환 부위)점막에 부착한다. 연령(나이), 증상에 따라 적절히 증감한다."
13,화이투벤씨플러스,"아세트아미노펜, 아스코르브산, 카페인무수물, 클로르페니라민말레산염, 클로페라스틴염산염, DL-메틸에페드린염산염, 리보플라빈, 티아민질산염","감기의 제증상(콧물, 코막힘, 재채기, 인후통, 기침, 가래, 오한, 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상의 어린이 및 성인 : 1회 2캡슐, 1일 3회, 식후 30분에 복용"
14,덱스원큐,"덱시부프로펜, 부분탈수유동소르비톨, 부틸히드록시톨루엔, 수산화칼륨","만성 다발성 관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종(부기) 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조","성인 : 덱시부프로펜으로서 1회 300 mg을 1일 2~4회 복용, 단, 1일 덱시부프로펜으로서 1,200 mg을 초과하지 않는다."
15,리버만프리미엄연질캡슐,"밀크시슬열매건조엑스, 청색1호,농글리세린,산화티탄,야자경화유,D-소르비톨액,에틸바닐린,황납,콩기름,젤라틴,레시틴,적색40호","다음 질환의 보조치료 : 독성간질환, 만성간염, 간경변","1일 1회, 1회 1캡슐"
16,다케다알보칠콘센트레이트액,폴리크레줄렌액,"질 세균 감염, 구내염 및 치육염","용액을 적신 거즈를 질 안에 넣고 가벼운 압력으로 해당부위를 1 ? 3분간 누른다. 3 ? 4일 간격으로 두 번 사용하고, 증상이 사라지지 않으면 의사와 상담한다."
17,판시딜 ,"약용효모, 케라틴, 티아민질산염, 판토텐산칼슘, L-시스틴, 파라아미노벤조산, 동물유래성분 : 케라틴","손상된 모발, 감염성이 아닌 손톱의 발육 부진, 탈모의 보조치료",성인 : 1회 1캡슐을 1일 3회 식후에 복용
18,치센,디오스민,"치질 / 다음 질환에 의한 여러 증상의 개선 : 정맥류, 정맥부전 (임신시 포함), 정맥염후증후군 / 모세혈관취약증에 의한 출혈증상 : 자반(자주색 반점)증","성인 : 디오스민으로서 1회 300mg 1일 2회 경구투여, 치질의 재발이나 악화 시에는 1일 1,200~1,800mg까지 투여할 수 있다."
19,마인트롤,세인트존스워트80%메탄올건조엑스,"불안, 무기력 상태의 완화, 가볍고 일시적인 우울증상의 완화",성인 및 12세 이상의 소아 : 세인트존스워트80%메탄올엑스로서 1회 300 mg 1일 3회 소량의 물과 함께 씹지 말고 복용
20,훼라민Q,"서양승마추출액, 세인트존스워트80%메탄올엑스","홍조, 땀이 남, 정신적 긴장, 신경과민, 집중력 부족, 불면, 불안 또는 우울증상, 생리전의 불쾌감","성인 : 1회 1정 1일 2회, 필요시 1회 2정 1일 2회 복용, 아침, 저녁에 씹지 않고 물과 함께 복용"
21,마데카솔 케어 연고,"센텔라정량추출물, 네오마이신황산염","네오마이신 감수성 세균에 의해 2차 감염된 피부질환의 초기 치료 : 작은 열상(찢긴 상처), 찰과상(긁힌 상처), 봉합(꿰맴)된 상처, 표재성(표면에 있는) 2도 이하의 화상",1일 1~2회 적당량을 환부(질환 부위)에 바릅니다.
22,센시아,센텔라정량추출물,"정맥질환 : 정맥, 림프 부전과 관련된 증상의 개선","성인 : 1일 1~2정, 식사와 함께 복용"
23,오라메디,트리암시놀론 아세토니드,"만성 박리성 치은염, 미란 또는 궤양을 수반하는 난치성 구내염 및 설염",1일 1~수회 환부에 적당량을 환부에 도포
24,이가탄에프캡슐,"리소짐염산염, 제피아스코르브산, 토코페롤아세테이트 2배산, 카르바조크롬","치주치료 후 치은염, 경·중등도 치주염의 보조치료",성인 1회 1캡슐을 1일 3회 식후에 복용
25,메이킨큐,"비사코딜, 우르소데옥시콜산, 카산트라놀, 도큐세이트나트륨","변비, 변비에 따른 다음 증상의 완화 : 식욕부진(식욕감퇴), 복부팽만, 장내이상발효, 치질",만 15세 이상 : 1회 1~3정
26,폭센정,나프록센나트륨,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증 / 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음) 후 동통(통증)",성인 : 1회 275-550mg 1일 2회(12시간마다) 경구투여
27,콜그린에이캡슐,"아세트아미노펜, 에텐자미드, 카페인무수물, 클로르페니라민말레산염, 덱스트로메토르판브롬화수소산염수화물, 푸르설티아민염산염, 리보플라빈, dl-메틸에페드린염산염","감기의 제증상(여러 증상) (콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","성인 : 1회 2캡슐, 1일 3회 식후 30분에 복용"
28,게보린정,"아세트아미노펜, 카페인무수물, 이소프로필안티피린","두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통, 오한(춥고 떨리는 증상), 발열시의 해열","성인 : 1회 1정 1일 3회까지 공복시를 피하여 복용, 복용간격은 4시간 이상"
29,레피즈 캡슐,니푸록사지드,급성 세균성 설사,"성인 : 1회 1캡슐, 1일 4회, 3일 이상 복용하지 말 것"
30,이프렌에스 연질캡슐,덱시부프로펜,"만성 다발성(여러 부위에서 동시에 나타나는) 관절염, 류마티스관절염, 관절증, 강직척추염, 외상(상처) 및 수술 후 통증성 부종 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조","성인 : 1회 1캡슐, 1일 2~4회, 1일 최대 4캡슐"
31,화인코프에이 캡슐,"덱스트로메트로판브롬화수소산염수화물, dl-메틸에페드린염산염, 노스카핀염산염수화물, 구아야콜설폰산칼륨 , 클로르페니라민말레인산염","기침, 가래","15세 이상의 성인 1회 2캡슐, 1일 3회 식후 복용"
32,버물리,"디펜히드라민염산염, 디부카인염산염, 살리실산메틸, 에녹솔론, L-멘톨, dl-캄파","습진,피부염, 미란(짓무름), 땀띠, 옻 등에 의한 접촉 피부염, 가려움, 동창, 벌레물린데, 두드러기",1일 1~수회 환부에 적당량을 바른다
33,파모큐정,파모티딘,"위산과다, 속쓰림, 신트림","16세 이상 : 1회 1정(10mg), 1일 2회(20mg)까지 복용"
34,큐자임정,"디아스타제, 프로테아제, 셀룰라제, dl-카르니틴염산염, 우담즙엑스, 글리시리진산암모늄, 티아민염산염","식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토, 소화촉진, 소화불량으로 인한 위부팽만감","만15세 이상 및 성인 : 1일 3회, 1회 1정씩 식후 복용
"
35,확펜,나프록센,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건(힘줄)염, 급성통풍, 월경곤란증, 활액(윤활)낭염, 골격근장애(염좌(삠) 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음) 후 동통(통증)",성인 : 나프록센으로서 1회 250~500mg(1~2캡슐) 1일 2회(12시간마다) 경구 투여
36,그린노즈에스캡슐,"클로르페니라민말레산염, 페닐레프린염산염, 벨라돈나총알칼로이드"," 코감기(급성비염), 알레르기성 비염 또는 부비동염에 의한 다음 증상의 완화 : 코막힘, 콧물, 재채기, 눈물, 인후통, 머리 무거움",성인(15세 이상): 1회 1캡슐씩 1일 3회 매 식후 복용
37,그린진에프주,베록토코그알파,"혈우병 A 환자의 출혈 증상의 조절과 지혈 및 일상 생활 또는 수술 시 출혈 예방, 이 약은 von Willebrand 인자 결핍증 환자에게는 사용하지 않는다.",첨부된 용제 (주사용수) 4 mL로 용해하여 환자에 따라 수분 이상의 속도로 정맥내 주사 또는 점적주사
38,그린콜샷리퀴드,"아세트아미노펜 , 구아이페네신 , 슈도에페드린염산염 , 덱스트로메토르팜브롬화수소산염수화물 , 카르비녹사민말레산염 ","감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상 및 성인 : 1일 3회, 1회 2캡슐 식후 30분에 복용"
39,명심고 카타플라스마,"L-멘톨, 살리실산글리콜, 토코페롤아세테이트, 황백연조엑스","다음 질환 및 증상의 진통, 소염[항염] : 요[허리]통, 타박, 염좌[삠], 견통[어깨결림], 관절통, 근육통, 근육피로, 동상, 골절통","1 일 1 ~ 2 회, 1 회 1 매씩 부착"
40,콜스펜,"아세트아미노펜, 클로르페니라민말레산염, 덱스트로메토르판브롬화수소산염수화물, DL-메틸에페드린염산염, 구아이페네신, 노스카핀염산염수화물, 슈도에페드린염산염","감기의 제증상(여러 증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상 및 성인 : 1일 3회, 1회 2캡슐 식후 30분에 복용"
41,목앤스프레이,"수용성아줄렌, 세틸피리디늄염화물수화물","목(인후)의 염증으로 인한 목의 통증, 목의 부종(부기), 목의 불쾌감, 목이 쉼, 구내염(입안염)","목의 염증에 사용하는 경우 용기의 분사구가 목의 환부를 향하게 하고 가볍게 숨을 내쉬면서 1회 3~4번 분사, 1일 3~5회 사용"
42,코앤나잘스프레이,"히알루론산나트륨, 덱스판테놀",코점막 보습 및 보호,"1회 사용 시 1~2회 좌우 비강에 분무하며, 1일 3회 사용"
43,이지엔6 에이스,아세트아미노펜,"감기로 인한 발열 및 동통(통증), 두통, 신경통, 근육통, 월경통, 염좌통(삔 통증)","만 12세 이상 소아 및 성인 : 1회 2캡슐씩 1일 3~4회 (4~6시간마다) 필요시 복용, 1일 최대 4그램 (12캡슐)을 초과하여 복용하지 않는다."
44,코메키나 캡슐,"벨라돈나총알칼로이드, 슈도에페드린염산염, 카페인무수물, 메퀴타진, 글리시리진산디칼륨","코감기(급성비염), 알레르기성 비염 또는 부비강염에 의한 다음 증상의 완화: 코막힘, 콧물, 재채기, 눈물, 목의 통증, 머리 무거움","성인(15세 이상) : 1회 1캡슐씩 1일 3회, 매 식후에 복용"
45,이지엔6 프로,덱시부프로펜,"만성 다발성(여러 부위에서 동시에 나타나는) 관절염, 류마티스관절염, 관절증, 강직척추염, 외상(상처) 및 수술 후 통정성 부종(부기) 또는 염증, 염증, 통증 및 발열을 수반하는 감염증의 치료보조","성인 : 1회 1정/캡슐(덱시부프로펜으로서 300mg)을 1일 3∼4회 식사시 경구투여, 1일 1,200mg을 초과하지 않으며, 증상에 따라 투여량을 조절한다."
46,임팩타민,"티아민질산염, 리보플라빈3배산, 니코틴산아미드, 판토텐산칼슘, 피리독신염산염, 폴산, 시아노코발라민1000배산, 산화아연","육체피로 - 임신, 수유기, 병중?병후(병을 앓는 동안이나 회복 후)의 체력 저하시, 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염","12세이상 어린이 및 성인: 1일 1회 2정 또는 1일 2회, 1회 1정 식후 복용"
47,트리겔정,"건조수산화알루미늄겔, 탄산마그네슘, 옥세타자인","위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림",성인 : 1회 1정씩 1일 3회 복용
48,콜대원콜드에스시럽,"아세트아미노펜, 클로르페니라민말레산염, 펜톡시베린시트르산염, dl-메틸에페드린염산염, 구아이페네신, 카페인무수물","감기의 제증상(콧물, 코막힘, 재채기, 인후[목구멍]통, 기침, 가래, 오한[춥고 떨리는 증상], 발열, 두통, 관절통, 근육통)의 완화","만 15세 이상 :  1회 1포(20ml), 1일 3회 식후 30분에 복용"
49,그날엔정,"이부프로펜, 카페인무수물, 알릴이소프로필아세틸요소","두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 생리통, 외상(상처)통의 진통, 오한, 발열시의 해열
",15세 이상 : 1회 2정 1일 3회 복용
50,클로스펜 정,"아세트아미노펜, 클로르족사존","신경통, 근육통, 관절통, 요통, 염좌(삠)통, 견통(어깨통증), 근 경련(근육경련), 근경직 등 근육의 이상 긴장을 수반하는 제질 환(여러질환)","성인: 1회 2정, 1일 4회까지 공복시를 피하여 복용"
51,이부프렌드,"이부프로펜, 파마브롬","두통, 치통, 발치후 동통(통증), 인후(목구멍)통, 귀의 통증, 관 절통, 신경통, 요통, 근육통, 견통(어깨 결림), 타박통, 골절통, 염좌통(삠통증), 월경통(생리통), 외상통의 진통","만 15세이상 및 성인 : 1일 3회, 1회 1~2캡슐 공복(빈 속)시를 피 하여 복용"
52,코트리나,"메퀴타진, 벨라돈나총알칼로이드, 슈도에페드린염산염, 카페인무수물, 글리시리진산이칼륨  ","코감기(급성비염), 알레르기성 비염 또는 부비강염에 의한 다음 증상의 완화 : 코막힘, 콧물, 재채기, 눈물, 목의 통증, 머리 무거움","성인(15세 이상) : 1회 1캡슐씩 1일 3회, 매 식후에 복용"
53,하이스탈정,"메타규산알루민산마그네슘, 탄산수소나트륨, 셀룰라제, 스코폴리아엑스, 감초가루, 침강탄산칼슘, 트리메부틴말레산염","위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 식체(위체), 구역, 구토, 위통, 신트림, 소화불량","성인 : 1회 2정, 1일 3회 매 식간(식사때와 식사때 사이) 복용"
54,시노피드플러스정,"아세트아미노펜, 클로르페니라민말레산염, 슈도에페드린염산염","감기의 제증상(콧물, 코막힘, 재채기, 인후통, 오한, 발열, 두통, 관절통, 근육통)의 완화",성인 : 4 ∼ 6시간마다 1회 1 ∼ 2정씩 복용
