name,ingredients,effect,dosage,caution,nation,image
Afrin¢ç Original,"benzalkonium chloride solution, edetate disodium, polyethylene glycol, povidone, propylene glycol, purified water, sodium phosphate dibasic, sodium phosphate monobasic","common cold, hay fever, upper respiratory allergies, temporarily relieves sinus congestion and pressure, shrinks swollen nasal membranes so you can breathe more freely",adults and children 6 to under 12 years of age: 2 or 3 sprays in each nostril not more often than every 10 to 12 hours.,"Ask a doctor before use if you have : heart disease, high blood pressure, thyroid disease, diabetes, trouble urinating due to an enlarged prostate gland",en,
Afrin¢ç No Drip Original,"benzalkonium chloride solution, benzyl alcohol, edetate disodium, flavor, microcrystalline cellulose and carboxymethylcellulose sodium, polyethylene glycol, povidone, purified water, sodium phosphate dibasic, sodium phosphate monobasic","common cold, hay fever, upper respiratory allergies, temporarily relieves sinus congestion and pressure, shrinks swollen nasal membranes so you can breathe more freely",adults and children 6 to under 12 years of age: 2 or 3 sprays in each nostril not more often than every 10 to 12 hours.,"Ask a doctor before use if you have : heart disease, high blood pressure, thyroid disease, diabetes, trouble urinating due to an enlarged prostate gland",en,
SUDAFED PE¢ç for Head Congestion + Pain Relief,"Ibuprofen, Pain reliever/fever reducer, Phenylephrine HCl, 
Nasal decongestant","Headache, Fever, Sinus pressure, Nasal congestion, Minor body aches and pains, Reduces swelling of the nasal passages, Temporarily restores freer breathing through the nose",Adults and children 12 years of age and over: Take 1 caplet every 4 hours while symptoms persist,"Allergy alert: Ibuprofen may cause a severe allergic reaction, especially in people allergic to aspirin. Symptoms may include: Hives, Facial swelling, Asthma, Shock, Skin reddening, Rash, Blisters
Ask a doctor before use if : Stomach bleeding warning applies to you, You have problems or serious side effects from taking pain relievers or fever reducers, You have a history of stomach problems, such as heartburn",en,
SUDAFED PE¢ç Sinus Congestion Day + Night,Phenylephrine HCl,"temporarily relieves sinus congestion and pressure, temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies, runny nose, sneezing, itchy, watery eyes, itching of the nose or throat, nasal congestion",Adults and children 12 years and over: take 1 tablet every 4 hours,"Ask a doctor before use if you have : heart disease, high blood pressure, thyroid disease, diabetes, trouble urinating due to an enlarged prostate gland",en,
"Children¡¯s SUDAFED PE¢ç Cough + Cold, Grape Liquid","Dextromethorphan HBr, Phenylephrine HCl","cough, nasal congestion","Under 4 years: do not use
4 to 5 years: 5 mL
6 to 11 years: 10 mL","Ask a doctor before use if the child has : heart disease, high blood pressure, thyroid disease, diabetes, persistent or chronic cough such as occurs with asthma, cough that occurs with too much phlegm, a sodium-restricted diet",en,
ThroatCalm¢ç,"Arnica montana 3C HPUS, Arum triphyllum 3C HPUS, Belladonna 3C HPUS, Bromium 3C HPUS, Bryonia 3C HPUS, Mercurius solubilis 4C HPUS, Phytolacca decandra 3C HPUS, Pulsatilla 3C HPUS, Spongia tosta 3C HPUS",Temporarily relieves minor sore throat and hoarseness,"Adults and children 12 years of age and older: At the onset of symptoms, dissolve 2 tablets under the tongue every 15 minutes for 1 hour. Then, dissolve 2 tablets under the tongue 3 times a day until symptoms are relieved.","Ask a doctor before use : in children under 12 years of age, if sore throat is severe, accompanied or followed by fever, headache, rash, nausea or vomiting.
Stop use and ask a doctor if symptoms persist for more than 2 days or worsen.
If pregnant or breast-feeding, ask a health professional before use.
Keep out of reach of children.",en,
Arnicare¢ç Cream,Arnica montana 1X HPUS,Temporarily relieves muscle pain and stiffness.,Apply a thin layer of Arnicare Cream to affected area and massage gently as soon as possible after minor injury. Repeat 3 times a day or as needed.,"Avoid contact with eyes, mucous membranes, damaged skin or wounds.
Do not use if you are allergic to Arnica montana or to any of this product¡¯s inactive ingredients.
When using this product, use only as directed; do not bandage tightly or use a heating pad.",en,
Colace¢ç Regular Strength,Docusate sodium,"For gentle, reliable relief from occasional constipation, Stimulant-free for comfortable relief",Adults and children 12 years of age and older: 1 to 3 capsules daily,"Do not use if you are presently taking mineral oil unless told to do so by a doctor.
Ask a doctor before use if you have : Stomach pain, Nausea, Vomiting, Noticed a sudden change in bowel habits that lasts over two weeks",en,
BONINE¢ç TABLETS,Meclizine HCI,"Prevents and treats nausea, vomiting, or dizziness associated with motion sickness",adults and children 12 years of age and over: take 1 to 2 tablets once daily or as directed by a doctor,"Do not use : in children under 12 years of age unless directed by a doctor.
Do not take this product, unless directed by a doctor, if you have : glaucoma, trouble urinating due to an enlarged prostate gland, a breathing problem such as emphysema or chronic bronchitis.",en,
BONINE¢ç TRAVEL SIZE,Meclizine HCI,"Prevents and treats nausea, vomiting, or dizziness associated with motion sickness",Adults and children 12 years of age and over: take 1 to 2 tablets once daily or as directed by a doctor.,"Do not use : in children under 12 years of age unless directed by a doctor.
Do not take this product, unless directed by a doctor, if you have : glaucoma, trouble urinating due to an enlarged prostate gland, a breathing problem such as emphysema or chronic bronchitis.",en,
BONINE¢ç GINGER SOFTGELS,Zingiber Officinale Roscoe Rhizome,"nausea, vomiting, dizziness, motion sickness",Adults & children 6 years of age and older: take 1 softgel ¨ö hour before activity,-,en,
TYLENOL¢ç 8 HR Muscle Aches & Pain Caplets,Acetaminophen,"muscular aches, backache, minor pain of arthritis, toothache, premenstrual and menstrual cramps, headache, the common cold",adults and children 12 years and over: take 2 caplets every 8 hours with water,"Allergy alert : acetaminophen may cause severe skin reactions. Symptoms may include : skin reddening, blisters, rash
Do not use : with any other drug containing acetaminophen.",en,
TYLENOL¢ç PM Extra Strength Nighttime Pain Reliever & Sleep Aid With 500mg Acetaminophen,"Acetaminophen, Diphenhydramine",temporary relief of occasional headaches and minor aches and pains with accompanying sleeplessness,adults and children 12 years and over: take 2 caplets at bedtime,"Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include : skin reddening, blisters, rash
Do not use : with any other drug containing acetaminophen, with any other product containing diphenhydramine, even one used on skin",en,
Children¡¯s TYLENOL¢ç Cold + Flu Oral Suspension,"Acetaminophen, Chlorpheniramine maleate, Dextromethorphan HBr, Phenylephrine HCl","minor aches and pains, headache, sore throat, cough, stuffy nose, sneezing and runny nose","under 4 years: do not use
4 to 5 years: do not use unless directed by a doctor
6 to 11 years: 10 mL","Allergy alert: acetaminophen may cause severe skin reactions. Symptoms may include : skin reddening, blisters, rash
Do not use : with any other drug containing acetaminophen,  If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist. , to make a child sleepy",en,
Theraflu¢ç Cough Relief,"Dextromethorphan HBr, Guaifenesin","Temporarily relieves cough due to minor throat and bronchial irritation as may occur with a cold, Helps loosen phlegm and thin bronchial secretions to make coughs more productive","Adults and children 12 years of age and over, Dose: One packet","Do not use : In a child under 12 years of age If you are now taking a prescription monoamine oxidase inhibitor, or for 2 weeks after stopping the MAOI drug. If you do not know if your prescription drug contains an MAOI, ask a doctor or pharmacist before taking this product
Ask a doctor before use if you have : Cough that occurs with too much phlegm, Cough that lasts or is chronic such as occurs with smokinq, asthma, chronic bronchitis, or emphysema",en,
Theraflu¢çExpressMax¢ç DayNight Value Pack Syrup,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl","Minor aches and pains, Minor sore throat pain, Headache, Nasal and sinus congestion, Cough due to minor throat and bronchial irritation","Adults and children 12 years of age and over, Dose: 30 mL","Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include:Skin reddening, Blisters, Rash
Do not use : In a child under 12 years of age, If you are allergic to acetaminophen With any other drug containing acetaminophen, If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist.",en,
Theraflu¢çMulti-Symptom Severe Cold Hot Liquid Powder,"Acetaminophen, Dextromethorphan HBr, Phenylephrine HCl","Minor aches and pains, Minor sore throat pain, Headache, Nasal and sinus congestion, Cough due to minor throat and bronchial irritation","Adults and children 12 years of age and over, Dose: One packet","Allergy alert: Acetaminophen may cause severe skin reactions. Symptoms may include:Skin reddening, Blisters, Rash
Do not use : In a child under 12 years of age, If you are allergic to acetaminophen With any other drug containing acetaminophen, If you are not sure whether a drug contains acetaminophen, ask a doctor or pharmacist.",en,
