name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그루타제정,"디메티콘,셀룰라제,우담즙 건조엑스,판크레아틴","소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용",성인은 1회 2정 1일 3회 식후에 복용,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린노즈에스시럽,"슈도에페드린염산염,클로르페니라민말레산염","눈의 가려움, 눈물, 콧물, 코 또는 인후(목구멍)의 가려움, 재채기, 코막힘 및 부비동 울혈의 일시적 완화에 사용","성인은 1회 4티스푼(20 mL), 1회 1티스푼(5 mL), 4~6시간마다 복용하고, 24시간 동안 4회를 넘지 않습니다.","모노아민옥시다아제 억제제(우울증, 정신 및 감정장애, 파킨슨병 치료제 중 일부)를 복용중이거나 복용을 중지한지 2주 이내인 사람은 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린노즈에스캡슐,"벨라돈나총알칼로이드,클로르페니라민말레산염,페닐레프린염산염","코감기(급성비염), 알레르기성 비염 또는 부비강염에 의한 코막힘, 콧물, 재채기, 눈물, 목의 통증, 머리 무거움 완화에 사용","성인은 1회 1캡슐씩 1일 3회, 매 식후에 복용","만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
그린비타플러스정,"건조레티놀아세테이트,니코틴산아미드,리보플라빈,산화아연,셀레늄함유건조효모,시아노코발라민,아스코르브산과립,요오드화칼륨,유비데카레논,콜레칼시페롤과립,토코페롤아세테이트 2배산,티아민질산염,판토텐산칼슘,폴산,푸마르산철,피리독신염산염,황산망간수화물,황산칼륨","육체피로, 임신 · 수유기, 병중 · 병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, E, B1, B2, B6, C의 보급과 눈의 건조감의 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방과 철 결핍성 빈혈의 예방 및 치료와 아연의 보급에 사용","성인은 1회 1정, 1일 1회 복용","고칼슘혈증, 유육종증, 신장질환, 이 약에 과민증 환자, 만 12개월 미만의 젖먹이, 고칼륨혈증, 혈색소증, 헤모시데린침착증, 비철결핍성 빈혈, 신장결석, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
글로덱시정,덱시부프로펜,"만성 다발성관절염, 류마티스관절염, 관절증, 강직척추염, 외상 및 수술 후 통증성 부종 또는 염증 그리고 염증, 통증 및 발열을 수반하는 감염증의 치료보조에 사용","성인은 1회 1정(300 mg), 1일 2~4회 복용. 단, 1일 4정(1,200 mg)을 초과하지 않습니다.","과민증 환자, 위장관궤양, 위장관이나 뇌혈관 또는 다른 부위의 출혈이 있는 환자, 심한 혈액이상, 심한 간장애, 심한 신장애, 심한 심부전, 심한 고혈압, 기관지천식, 아스피린 또는 다른 소염진통제에 의한 천식, 두드러기, 알레르기 경험 환자, 심장동맥 우회로술 전후 통증 치료 환자, 임신 6개월 이상의 임부, 수유부, 크론병, 궤양성대장염, 비스테로이드성 소염진통제로 인해 위장관출혈 또는 천공이 발생한 병력이 있는 환자, 갈락토오스불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기가렉스연질캡슐,"브롬헥신염산염,카르보시스테인",가래 또는 기침을 유발하는 가래에 사용,"성인은 1회 2캡슐, 1일 3회 식후에 복용","과민증 환자, 위·십이지장 궤양, 8세 미만의 소아는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노민연질캡슐,"농축콜레칼시페롤(유상형),레티놀팔미테이트,리보플라빈,시아노코발라민,아스코르브산,티아민질산염","육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, B1, B2, C의 보급과 눈의 건조감 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방, 각기, 눈의 피로, 신경통, 근육통, 관절통(요(허리)통, 견통(어깨통증)등), 구순염(입술염), 구각염(입꼬리염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용","성인은 1회 1캡슐씩, 1일 3회 복용","과민증 환자, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태)환자, 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환, 만 3개월 미만의 영아, 대두유 또는 콩, 땅콩에 과민증 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나노펜정,"감초가루,아세트아미노펜,에텐자미드,작약가루,카페인수화물","두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 신경통, 관절통, 근육통, 요(허리)통, 견통(어깨결림, 어깨통증), 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통, 오한(춥고 떨리는 증상), 발열시의 해열에 사용",성인은 1회 2정씩 1일 2회까지 공복을 피해 복용 복용간격은 6시간 이상,"과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나로펜정,나프록센나트륨,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증)), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 통증에 사용","성인은 1회 1~2정(275~550 mg), 1일 2회(12시간마다) 1일 총용량이 5정(1,375 mg)을 초과하지 않도록 함","과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 심기능부전, 심한 신장애, 심한 고혈압, 아스피린 등 비스테로이드성 소염진통제에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 의하여 천식, 비염(코염), 코의 용종, 두드러기, 알레르기 반응 또는 경험자, 관상동맥(심장동맥) 우회로술 전후에 발생하는 통증의 치료 및 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나리센연질캡슐,나프록센,"류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과 활액(윤활)낭염, 골격근장애(염좌(삠), 좌상(타박상), 외상(상처), 요천통(허리통증), 수술후 동통(통증), 편두통, 발치(이를 뽑음)후 동통(통증)에 사용","성인은 1일 2회(12시간마다), 1일 총용량이 5캡슐(1,250 mg)을 초과하지 않도록 함"," 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 과민증 환자, 소화성궤양, 심한 혈액이상, 심한 간장애, 심한 신장장애, 심한 심장기능부전, 심한 고혈압, 기관지천식, 관상동맥(심장동맥) 우회로술(CABG) 전후 통증발생 환자, 임부, 수유부, 2세 이하의 영아는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나스타제정,"디아스타제·프로테아제·셀룰라제,리파제,시메티콘파우더,우르소데옥시콜산","소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용",성인은 1회 1~2정 1일 3회 식후에 복용,"과민증 환자, 황색4호(타르트라진)에 과민증 환자, 만 7세 이하의 영.유아에게는 투여하지 않습니다.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이스콜드연질캡슐,"구아이페네신,덱스트로메토르판브롬화수소산염수화물,슈도에페드린염산염,아세트아미노펜,클로르페니라민말레산염","감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용","성인은 1회 1캡슐씩, 1일 3회 식후 30분에 복용","과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이스코프연질캡슐,"dl-메틸에페드린염산염,구아이페네신,덱스트로메토르판브롬화수소산염수화물,클로르페니라민말레산염",기침·가래에 사용,"성인은 1회 1캡슐씩, 1일 3회 식후 30분에 복용","과민증 환자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네로민정,"d-비오틴,니코틴산아미드,리보플라빈,시아노코발라민 1000배산,아스코르브산과립,티아민질산염,판토텐산칼슘,폴산,피리독신염산염","투석환자, 만성신부전에 의한 질소혈증환자의 비타민 B, C 보급에 사용","성인은 1회 1정씩, 1일 1회 복용","B12 결핍성 악성빈혈에는 복용하지 마십시오, 과민증 환자, 3개월 미만의 영아는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	네오칼디정","구연산칼슘,농축콜레칼시페롤","임신·수유기, 발육기, 노년기의 비타민 D의 보급과 뼈, 이의 발육불량, 구루병의 예방과 칼슘결핍 및 기타 칼슘의 보급에 사용"," 성인은 1회 2정, 1일 1회 식후 복용","과민증 환자, 만 12개월 미만의 젖먹이, 고칼슘혈증, 유육종증, 신장질환, 신장결석, 심한 증상의 신부전 환자, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 햇빛을 많이 보고 정상적인 식사를 하는 어린이, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 미숙아, 유아, 심장ㆍ순환기계기능 장애, 신장장애, 저단백혈증 환자는 의사 또는 약사와 상의하십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네오코정,"소청룡탕건조엑스,수도에페드린염산염,아세트아미노펜,카페인무수물,클로르페니라민말레산염","감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용",성인은 1회 2정씩 1일 3회 식후 30분에 복용,"과민증 환자 및 경험자, 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네프비타정,"니코틴산아미드,리보플라빈,비오틴,시아노코발라민,아스코르브산,티아민질산염,판토텐산칼슘,폴산,피리독신염산염", 비타민 B 및 C의 보급에 사용,"성인은 1회 1정씩, 1일 1회 복용","B12 결핍성 악성빈혈에는 복용하지 마십시오. 과민증 환자, 3개월 미만의 영아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
넥스톤연질캡슐," 건조황산제일철,농축콜레칼시페롤(유상),니코틴산아미드,레티놀팔미테이트,리보플라빈,무수인산수소칼슘,산화마그네슘,산화아연,산화제이구리,시아노코발라민1000배산,아스코르브산,토코페롤아세테이트,티아민질산염,판토텐산칼슘,피리독신염산염,황산망간수화물","육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 발육기, 노년기의 비타민 A, D, E, B1, B2, B6, C의 보급과 눈의 건조감 완화, 야맹증(밤에 잘 못 보는 증상), 뼈, 이의 발육불량, 구루병의 예방, 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화에 사용","성인은 1회 1캡슐씩, 1일 1회 복용","대두유, 콩, 땅콩에 과민증 환자, 만 12개월 미만의 젖먹이, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태), 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환, 윌슨병, 혈색소증(철대사 이상으로 철이 간장, 췌장에 침착하는 질환), 헤모시데린침착증, 비철결핍성 빈혈, 신장결석, 심한 증상의 신부전 환자는 이 약을 복용하지 마십시오. 비타민 A를 1일 5,000 IU 이상 복용 시 선천성 기형을 일으킬 수 있습니다. 임신 3개월 이내 또는 임신하고 있을 가능성이 있는 여성은 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
넥콘600에프정," γ-오리자놀,니코틴산아미드,리보플라빈,시아노코발라민1000배산,이노시톨,콘드로이틴설페이트나트륨,콜레칼시페롤과립,콜린타르타르산염,판토텐산 칼슘,푸르설티아민,피리독신염산염","육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시, 발육기, 노년기의 비타민 D, B1, B2, B6의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용","성인은 1회 1정씩, 1일 1회 식후에 복용","과민증 환자, 만 3개월 미만의 젖먹이, 고칼슘혈증(혈액중에 칼슘이 과잉으로 존재하는 상태), 유육종증(원인을 알 수 없는 전신 염증질환), 신장질환, 신장결석 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노스핀캡슐,"dl-메틸에페드린염산염,구아야콜설폰산칼륨,노스카핀,덱스트로메토르판브롬화수소산염수화물,카르비녹사민말레산염","기침, 가래에 사용","성인은 1회 2캡슐씩, 1일 3회 식후에 복용","임부 또는 임신하고 있을 가능성이 있는 여성, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노이제로정,"노회,니코틴산아미드,리보플라빈,아미노벤조산에틸,카페인수화물,클로르페니라민말레산염,티아민염산염,파파베린염산염",이명증에 사용,"성인은 1회 2~3정, 1일 3회 식사 후 물과 함께 복용",15세 미만의 소아는 이 약을 복용하지 마십시오.,ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노콜레스연질캡슐,"토코페롤아세테이트,피리독신염산염,홍화유","비만증, 당뇨성ㆍ본태성 고콜레스테롤혈증에 의한 지질대사 개선에 사용","성인은 1회 3캡슐, 1일 3회 식전 30분 전에 복용"," 대두유, 콩, 땅콩에 과민증 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노플정,"수도에페드린염산염,트리프롤리딘염산염수화물","코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용",성인은 1회 1정  1일 3회 매 식후에 복용,"과민증 환자, 심한 증상의 간장애 및 신장애, 심한 증상의 심장질환, 잔뇨형성을 수반하는 배뇨장애, 고혈압, 관상동맥질환, MAO 억제제를 투여중인 환자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 2세 이하의 영아는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
누코미트캡슐200밀리그램,아세틸시스테인,"급ㆍ만성기관지염, 기관지천식, 후두염, 부비동염, 낭성섬유증의 질환에서 객담배출곤란에 사용","급성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용
만성질환에 성인은 1회 1캡슐(200 mg)씩, 1일 2회, 식전에 소량의 물과 함께 복용
낭성섬유증에 6세 이상은 1회 1캡슐(200 mg)씩, 1일 3회 식전에 소량의 물과 함께 복용","과민증 환자, 위•십이지장궤양, 2세 미만 영아, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
눈모아연질캡슐,"동클로로필,레티놀팔미테이트유,사유,에르고칼시페롤과립","눈의 건조감 증상의 완화, 치골의 발육불량, 야맹증, 구루병 예방과 임신수유기, 병중.병후 체력저하때, 발육기, 노년기의 비타민 A, D의 보급에 사용","성인은 1회 2캡슐씩, 1일 1회 복용","임신 3개월 이내 또는 임신하고 있을 가능성이 있는 여성은 복용하지 마십시오. 복용 후 피부가려움, 오심, 구토, 1개월 정도 복용하여도 증상이 개선되지 않을 경우, 대두유 또는 콩, 땅콩에 과민증 환자는 이 약을 복용하지 마십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
뉴란스플러스정," γ-오리자놀,리보플라빈,비오틴,셀레늄함유건조효모,시아노코발라민1000배산,아스코르브산97,토코페롤아세테이트 2배산,티아민질산염,폴산,피리독신염산염,황산아연","육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기의 비타민 E, B1, B2, B6, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등), 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화, 각기, 눈의 피로, 햇빛,피부병 등에 의한 색소침착(기미, 주근깨)의 완화, 잇몸출혈·비출혈(코피) 예방과 아연의 보급에 사용","성인은 1회 2정씩, 1일 1회 또는 1회 1정씩, 1일 2회 복용","과민증 환자, 만 12개월 미만의 젖먹이는 이 약을 복용하지 마십시오. 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 미숙아, 유아, 고옥살산뇨증(뇨중에 과량의 수산염이 배설되는 상태), 소화성궤양, 만성궤양성대장염, 국한성대장염 등의 위장질환, 심장ㆍ순환기계기능 장애, 신장장애, 저단백혈증, 통풍, 신장결석, 혈전성 소인이 있는 환자, 폴산이 부족한 환자, 황색5호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
