name,ingredients,effect,dosage,caution,nation,image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나도가드정40밀리그램,나도롤," 고혈압, 협심증, 빈맥성부정맥, 편두통의 예방, 갑상선중독증(갑상선기능항진증의 완화 및 갑상선 수술전 처치제)"," 1. 고혈압 : 성인 나도롤로서 1일 40㎎으로 경구투여하여 최적반응이 나타날 때까지 1주일 간격으로 점차 증량한다. 환자의 상태에 따라 1일 최대 240㎎까지 투여할 수 있다. 
 2. 협심증 : 이 약으로서 1일 40㎎으로 시작하여 최적반응이나 과도의 서맥이 나타날 때까지 1주일 간격으로 점차 증량한다. 환자의 상태에 따라 1일 최대 160㎎까지 투여할 수 있다. 
 3. 빈맥성부정맥 : 이 약으로서 1일 40㎎으로 시작하여 1주일 간격으로 점차 증량하여 1일 최대 160㎎까지 증량할 수 있다. 서맥이 나타나면 1일 40㎎으로 감량한다.
 4. 편두통의 예방 : 이 약으로서 1일 40㎎으로 시작하여 최적반응이 나타날 때까지 점차 40㎎씩 증량한다. 보통 유지용량은 1일 80-160㎎이다. 최대용량에서 4-6주 후에도 만족할 만한 반응이 얻어지지 않으면 이 치료법은 점차 중지한다.
 5. 갑상선중독증 : 이 약으로서 1일 80-160㎎을 투여하며 대부분의 환자는 1일 160㎎을 투여한다. 
 연령, 증상에 따라 적절히 증감한다.","다음 환자에는 투여하지 말 것.
  1) 기관지천식, 기관지경련, 만성 폐쇄성 폐질환이 일어날 수 있는 환자
  2) 당뇨병성 케토산증, 대사성 산증 환자
  3) 서맥(현저한 동서맥), 방실블록(2, 3도), 동방블록 환자
  4) 심인성 쇽 환자
  5) 폐고혈압에 의한 우심부전 환자
  6) 울혈성 심부전 환자
  7) 증증의 저혈압 환자
  8) 중증의 말초순환장애 환자
  9) 동기능부전증후군 환자
 10) 임부 또는 임신하고 있을 가능성이 있는 부인
 11) 알레르기성 비염 환자
 12) MAO저해제를 투여받고 있는 환자 또는 투여를 중지한 지 2주가 경과되지 않은 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나드릴정,나프로닐옥살산염,말초혈관 장애,"성인 : 나프로닐옥살산염으로서 1회 100mg 1일 3회 경구투여한다. 

연령, 증상에 따라 적절히 증감한다.","다음 환자에는 투여하지 말 것.

  1) 급성 심근경색 환자
  2) 출혈성 상해 초기 환자
  3) 기립성 조절장애 환자
  4) 이 약에 과민증 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나딕사크림,"	나디플록사신","유효균종 : 프로피오니박테리움 아크네(Propionibacterium acnes), 스타필로코커스 에피더미디스(Staphylococcus epidermidis)
적응증 : 경증-중등도의 구진과 농포가 있는 심상성 좌창(여드름)의 국소적 치료","세안 후 마른 상태에서 병변 부위에 얇게 아침, 저녁으로 1일 2회 도포.(눈과 입을 피하여 도포)","다음 환자에는 투여하지 말 것.
 1) 나디플록사신이나 이 제품 첨가제에 대한 과민증의 병력이 있는 환자
 2) 12세 미만의 소아
 3) 임부 및 수유부
",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나레틸정,아세틸-L-카르니틴염산염,뇌혈관 질환에 의한 이차적 퇴행성 질환,아세틸-L-카르니틴으로서 1회 500 mg을 1일 2 ～ 3회 경구투여한다.,"다음 환자에는 투여하지 말 것.

이 약에 대해 과민반응을 나타내는 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나메린정,"	나부메톤","소염·진통 : 골관절염(퇴행관절염), 류마티스 관절염",성인 : 나부메톤으로서 1일 1회 1 g을 취침 전에 경구투여 한다. 증상이 심하거나 지속적일 경우 또는 급속히 악화되는 경우에는 이 약으로서 500 mg∼1 g을 추가로 아침에 경구투여한다.,"다음 환자(경우)에는 투여하지 말 것.
 1) 소화성궤양 환자 및 그 병력이 있는 환자
 2) 중증 혈액이상 환자
 3) 중증 간장애 환자
 4) 중증 신장애 환자
 5) 중증 심장애 환자
 6) 이 약 또는 이 약의 성분에 과민반응이 있는 환자
 7) 아스피린천식(비스테로이드성 소염진통제 등에 의한 천식발작의 유발) 또는 그 병력이 있는 환자
 8) 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 억제제 포함)에 대하여 기관지염, 두드러기, 비염, 맥관부종, 알레르기 반응 병력이 있는 환자(이러한 환자에서 비스테로이드성 소염진통제 투여 후 치명적인 중증의 아나필락시스모양 반응이 드물게 보고되었다.)
 9) 관상동맥 우회로술(CABG) 전후에 발생하는 통증의 치료
 10) 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부
 11) 이전의 비스테로이드성 소염진통제 치료로 인해, 위장관 출혈, 재발성 소화궤양 또는 천공이 발생한 병력이 있는 환자
 12) 15세 미만의 소아 및 청소년
 13) 크론병 또는 궤양성대장염과 같은 염증성 장질환 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나미야지크림,"	베타메타손디프로피오네이트,클로트리마졸,겐타마이신황산염","세균성 또는 진균성 감염 또는 감염이 우려되는 코르티코이드 반응성 피부질환 : 알레르기피부염, 접촉피부염, 아토피피부염, 지루피부염, 습진, 간찰진, 박탈피부염, 만성단순태선(신경피부염)","1일 2회 아침, 저녁 적당량을 환부와 그 주위에 엷게 바른 후 가볍게 문지른다.","다음 환자(부위)에는 투여하지 말 것.

1) 상처 또는 점막부위
2) 세균(피부결핵, 매독 등)ㆍ진균(칸디다증, 백선 등)ㆍ바이러스(대상포진, 단순포진, 수두, 종두증 등)ㆍ동물(옴, 사면발이 등)성 피부감염증 환자(증상이 악화될 수 있다)
3) 이 약 또는 이 약 성분에 과민증 및 그 병력이 있는 환자
4) 고막천공이 있는 습진성 외이도염 환자(천공부위의 치유지연이 나타날 수 있다)
5) 궤양(베체트병 제외), 제2도 심재성 이상의 화상ㆍ동상환자(피부재생이 억제되어 치유가 지연될 수 있다)
6) 입주위피부염, 보통여드름, 주사(rosacea) 환자
7) 스트렙토마이신, 카나마이신, 겐타마이신, 네오마이신 등 아미노글루코사이드계 항생물질 또는 바시트라신에 의한 과민증 및 그 병력이 있는 환자
8) 이미다졸계의 항생물질에 과민증(교차알러지) 및 그 병력이 있는 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나부젠정,나부메톤,"소염·진통

: 골관절염(퇴행관절염), 류마티스 관절염",성인 : 나부메톤으로서 1일 1회 1 g을 취침 전에 경구투여 한다. 증상이 심하거나 지속적일 경우 또는 급속히 악화되는 경우에는 이 약으로서 500 mg∼1 g을 추가로 아침에 경구투여한다.,"다음 환자(경우)에는 투여하지 말 것.
1) 소화성궤양 환자 및 그 병력이 있는 환자
2) 중증 혈액이상 환자
3) 중증 간장애 환자
4) 중증 신장애 환자
5) 중증 심장애 환자
6) 이 약 또는 이 약의 성분에 과민반응이 있는 환자
7) 아스피린천식(비스테로이드성 소염진통제 등에 의한 천식발작의 유발) 또는 그 병력이 있는 환자
8) 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 억제제 포함)에 대하여 기관지염, 두드러기, 비염, 맥관부종, 알레르기 반응 병력이 있는 환자(이러한 환자에서 비스테로이드성 소염진통제 투여 후 치명적인 중증의 아나필락시스모양 반응이 드물게 보고되었다.)
9) 관상동맥 우회로술(CABG) 전후에 발생하는 통증의 치료
10) 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부
11) 이전의 비스테로이드성 소염진통제 치료로 인해, 위장관 출혈, 재발성 소화궤양 또는 천공이 발생한 병력이 있는 환자
12) 15세 미만의 소아 및 청소년
13) 크론병 또는 궤양성대장염과 같은 염증성 장질환 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이드크림,플루오시노니드,"1. 알레르기피부염, 접촉피부염, 만성단순태선(신경피부염), 아토피피부염, 원판상홍반성루푸스, 지루피부염, 건선, 벌레물린데, 방사선피부염, 양진
2. 원형탈모증의 치료",1일 3 ∼ 4회 적당량을 환부에 잘 문질러 바른다. 증상이 개선되면 1 ∼ 2회로 투여횟수를 줄인다.,"다음 환자에는 투여하지 말 것.

1) 피부결핵, 단순포진, 수두, 대상포진, 종두진, 매독 환자
2) 이 약 또는 이 약의 성분에 과민반응의 병력이 있는 환자
3) 고막 천공이 있는 습진성 외이도염 환자(천공부위의 치료가 지연되고, 감염이 유발될 수 있다)
4) 피부궤양(베체트병 제외), 제2도 심재성 이상의 화상 및 동상 환자(피부재생이 억제되고 치유가 지연될 수 있다)
5) 세균, 진균, 스피로헤타, 바이러스 피부감염 또는 동물성 피부병(옴, 사면발이 등) 환자(감염증을 악화시킬 수 있다)
6) 주사(rosacea), 여드름, 입주위피부염 환자
7) 항문주위 및 생식기 가려움 환자
8) 2세 미만의 소아",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이시드캡슐150㎎,니자티딘,"1. 활동성 위·십이지장 궤양 치료 및 십이지장 궤양 재발방지
2. 내시경상으로 진단된 미란성 및 궤양성 식도염, 위식도 역류질환(GERD)에 기인한 가슴쓰림(heartburn) 증상의 치료
3. 다음 질환의 위점막병변(미란, 출혈, 발적, 부종)의 개선 : 급성위염, 만성위염의 급성 악화기","1. 활동성 위ㆍ십이지장 궤양 치료
성인은 니타지틴으로서 1회 300mg을 1일 1회 취침시에 투여하거나, 1회 150mg을 1일 2회 아침, 저녁으로 경구 투여한다. 대부분 4주 이내에 치유되지만 필요한 경우 8주까지 투여한다. 활동성 위궤양의 경우 악성여부를 반드시 치료전에 확인해야 한다.

2. 십이지장 궤양 재발방지
성인은 십이지장 궤양 치유 후 1회 150mg을 1일 1회 취침시에 경구투여한다. 치료는 1년까지 계속될 수 있으며, 그 이상의 장기투여에 대한 결과는 알려져 있지 않다.

3. 위식도 역류질환
성인은 1회 150mg을 1일 2회 아침, 저녁 경구투여한다. 치료는 12주까지 계속될 수 있다.

4. 위점막병변 개선 
성인은 1회 150mg을 1일 2회 아침, 저녁으로 2주간 경구투여한다.","다음 환자에는 투여하지 말 것.
이 약 및 다른 H(2)-수용체 길항제에 과민증의 병력이 있는 환자. (H(2)-수용체 길항제에서 교차 감수성이 관찰되었다.)",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
나이트랄액,플루트리마졸,"다음의 감수성균에 의한 표재성 피부 진균증의 국소적 치료 
- 피부사상균에 의한 피부 진균 감염증
  : 무좀, 완선, 체부백선, 안부백선, 간찰진
- 어루러기",성인 및 10세 이상의 소아에게 1일 1회 도포한다. ,"다음 환자에는 사용하지 말 것.
  이미다졸 항진균약 및 이 약 또는 이 약의 구성성분에 과민반응이 있는 환자",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
네프릴정,"	말레인산에날라프릴","1. 고혈압

2. 심부전 : 이뇨제 및 디기탈리스 투여시의 보조치료제
","1. 고혈압
1) 이뇨제를 투여받고 있지 않은 환자
성인 :  말레인산에날라프릴로서 초회량으로 1일 1회 5㎎을 투여하고 혈압에 따라 조절한다. 유지량으로 1일 10-40㎎을 1-2회 분할 투여한다. 1일 1회 투여받는 환자에서 투여말기에 혈압강하작용이 감소되는 경우에는 용량을 증가하거나 1일 2회 투여한다. 
2) 이뇨제를 투여받고 있는 환자
성인 : 최근에 이뇨제 투여로 고혈압 치료를 받은 환자에서 이 약의 최초 투여시 저혈압이 나타날 수 있으므로 가능한한 이 약 투여 2-3일 전에 이뇨제의 투여를 중지하며, 만약 이 약 투여시 고혈압 치료가 안될 경우에는 이뇨제의 투여를 재개할 수 있다. 이뇨제 투여를 중지 할 수 없을 경우에는 이 약을 1일 1회 2.5㎎을 경구 투여한다.
3) 신기능장애 환자 
① 일반적인 투여량은 크레아티닌청소율이 30㎖/분 이상(혈청크레아티닌이 3㎎/㎗까지)인 환자에 적용한다.
② 크레아티닌청소율이 30㎖/분 이하(혈청 크레아티닌이 3㎎/㎗ 이상)인 환자 : 초회량으로 1일 1회 2.5㎎을 투여한다. 혈압이 조절될 때까지 1일 최대 40㎎까지 투여할 수 있다.  2. 심부전
1) 이 약은 이뇨제 및 디기탈리스의 보조치료제로 사용한다.
2) 초회량 
성인 : 1회 2.5㎎ 1일 1-2회 투여한다. 최초투여후 2시간이상 및 혈압이 안정될 때까지 충분히 관찰하고 가능하면 저혈압이 나타나지 않도록 이뇨제의 양을 감소시킨다. 이 약의 최초투여후 저혈압이 나타나면 계속해서 주의깊게 용량을 조절하고 저혈압에 대하여 효과적으로 관리한다. 
3) 유지량 
성인 : 1일 5-20㎎을 2회 분할투여하며 1일 최대 40㎎까지 투여할 수 있다. 대부분의 환자에게 1일 최대투여량인 40㎎을 투여한 대조시험에서 1일 1회 투여로 유효성있는 효과를 얻었으나, 1일 2회 투여시험이 일반적으로 많이 행하여 졌으며 중증의 심부전 환자(NYHA class Ⅳ)를 대상으로 하여 사망율감소가 확인되었던 위약-대조군시험에서도 대부분의 환자들은 1일 2.5-40㎎을 2회 분할 투여받았다. 혈액동력학적 반응 또는 임상반응에 따라 투여량을 조절할 수 있다.
4) 신부전 또는 저나트륨혈증을 수반하는 심부전 환자 
저나트륨혈증(혈청나트륨농도 130mEq/ℓ이하) 또는 혈청크레아티닌이 1.6㎎/㎗이상인 심부전환자에는 초회량으로 1일 2.5㎎을 충분히 관찰하면서 투여한다. 용량을 증량할 경우에는 1회 2.5-5㎎ 1일 2회 또는 필요시 그이상 증량투여하며 증량투여 간격은 최초투여후 4일 또는 그 이상동안 과도한 저혈압 또는 특별한 신기능퇴행이 나타나지 않을 경우에 증량투여한다. 1일 최대 40㎎까지 투여할 수 있다. ","다음 환자에는 투여하지 말 것
 1) 이 약에 과민증 및 그 병력이 있는 환자
 2) 아크릴로니트릴설폰산나트륨 막을 이용한 혈액투석을 시행중인 환자
 3) 혈관부종 및 그 병력이 있는 환자
 4) LDL분리반출법치료를 받고 있는 환자(덱스트란황산셀룰로오스를 이용한 LDL분리반출법을 시행중인 환자)
 5) 원발성 고알도스테론혈증 환자
 6) 대동맥판협착증 또는 폐쇄성 박출장애 환자 
 7) 원발성 간질환 및 간기능장애 환자
 8) 신장 이식 후 환자
 9) 임부 또는 임신하고 있을 가능성이 있는 부인, 수유부
 10) 소아
 11) 레닌억제제(알리스키렌)을 복용 중인 당뇨병이나 중등도∼중증의 신장애환자(GFR <60ml/min/1.73m2)(5. 상호작용항 참조)
 12) 안지오텐신 수용체 차단제(ARB)를 복용중인 당뇨병성 신증 환자(5. 상호작용항 참조)
 13) 네프릴리신(NEP) 저해제를 투여중이거나 투여 중단 후 36시간이 지나지 않은 환자(5. 상호작용항 참조)",ko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
